◆ ユニット一覧

・近距離咲夜
弱いがたくさん生成できる。

・遠距離咲夜
弱いがたくさん生成できる。ナイフを投げて遠距離から攻撃できる。

・紅茶咲夜
紅茶を入れるだけで攻撃しない。HPが高いので紅魔館を防衛する壁にできる。

・めーさく咲夜
紅魔館の門番。攻撃力が高いが、遠距離からの攻撃に弱い。

・バズーカ咲夜
遠距離から攻撃できる。耐久は紙なので、近づかれて攻撃されると弱い。

・MMD咲夜
一番速く移動する。大量に生成できるが、一撃で死んでしまう。

・マジシャン咲夜
消費Pに見合った強さ。そつがない強さ。

・マンドラゴラ咲夜
攻撃力・耐久ともに高く強い。攻撃範囲が狭く移動が遅いのが難点。

・ツパイ咲夜
攻撃範囲が広い。欠点も少なく優秀。消費Pが多いのが難点。

・妖々夢咲夜
移動が速い。すぐボスにたどり着けるが、戦闘では弱い。

◆ ボーナス一覧
称号	条件	難度
まずは抱えボムをなくせ	咲夜がX体死亡	easy
なんてこった！咲夜がピチュっちゃった！		normal
紅魔館は燃えているか		hard
私の屍を越えてゆけ		lunatic
散弾ではなぁ！	バズーカ咲夜X体使用	easy
マグネット・コーティング		normal
君は刻の涙を見る		hard
こんなにうれしいことはない		lunatic
ムー大陸に投稿	ツパイ咲夜をX体使用	easy
出た！？出っ歯の妖怪		normal
遊星からの吸血鬼X		hard
ばちこん☆		lunatic
赤いマフラー	妖々夢咲夜をX体使用	easy
春を求めて		normal
ファンタズム		hard
パーフェクトチェリーブロッサム		lunatic
パチュリーのへそくり	マンドラゴラ咲夜をX体使用	easy
耳を塞げ		normal
うちの地元じゃマンドレイク		hard
お薬増やしましょう		lunatic
青色の紅茶	紅茶咲夜をX体使用	easy
スコーンはまだ？		normal
七色の紅茶		hard
メイド、図書館、永遠に		lunatic
タネなし手品	マジシャン咲夜をX体使用	easy
フーディーニ再臨		normal
ハンドパワ～～		hard
メンタリズムではありません		lunatic
いつもの	通常近距離咲夜をX体使用	easy
原作のような安心感		normal
月面人説		hard
吸血鬼ハンター説		lunatic
なんか書いとけ	通常遠距離咲夜をX体使用	easy
射幸心を煽るメッセージを挿入		normal
なんか書いとけ		hard
sm7905073		lunatic
モデリング：ゆたろう	MMD咲夜をX体使用	easy
good apple		normal
細かすぎて伝わらない		hard
紳士の社交場		lunatic
めーさく劇場	めーさく咲夜をX体使用	easy
日本めーさく劇場		normal
世界めーさく劇場		hard
さくめーもいいぞ。		lunatic
地元じゃ負け知らず	1ユニットで敵をX体以上撃破	easy
ワンマンアーミー		normal
お主こそ万夫不当の豪傑よ		hard
完全で瀟洒な従者		lunatic
新春かくし芸大会	マジシャン咲夜のみで1ステージクリア	
これは8点ですね	めーさくのみで1ステージクリア	
いったい何が始まるんです？	バズーカ咲夜のみで1ステージクリア	
畑泥棒対策	マンドラゴラのみで1ステージクリア	
もはやUMAに非ず	ツパイのみで1ステージクリア	
忍者は何人じゃ？	妖々夢咲夜のみで1ステージクリア	
原理としては別時間の自分を云々	通常遠距離のみで1ステージクリア	
それがドリームチームだ	通常近距離のみで1ステージクリア	
MMD合作	MMDのみで1ステージクリア	
名将の采配	咲夜をひとりも死亡させず1ステージクリア	
あー忙しい忙しい！	X秒以下で1ステージクリア	easy
お掃除が終わらないじゃない		normal
幻想郷最速？		hard
←光速より速く動ける		lunatic
タイムストッパない咲夜	スペルを一度も使用せず1ステージクリア	
妖精キラー	1ステージで敵をX体以上撃破	easy
妖精バスター		normal
世紀末覇者		hard
いったい何の恨みがあって……		lunatic


